imdb_title_id	title	year	genre	director	avg_vote
tt0020828	Dixiana	1930	Comedy, Drama, Music	Luther Reed	5.3
tt0020866	Extravagance	1930	Drama, Romance	Phil Rosen	5.9
tt0020900	Framed	1930	Action, Crime, Drama	George Archainbaud	6.1
tt0020985	Holiday	1930	Comedy, Drama	Edward H. Griffith	6.4
tt0021053	Laughter	1930	Comedy, Romance	Harry d'Abbadie d'Arrast	6.5
tt0021121	Manslaughter	1930	Romance, Drama	George Abbott	6.2
tt0021128	Mary	1931	Mystery, Thriller	Alfred Hitchcock	6.1
tt0021148	Castigo	1930	Comedy, Drama	George W. Hill	6.8
tt0021156	Marocco	1930	Drama, Romance	Josef von Sternberg	7.1
tt0021276	Vertigine	1930	Music, Romance	Edward Sloman	5.7
tt0021281	Raffles	1930	Adventure, Crime, Drama	George Fitzmaurice, Harry d'Abbadie d'Arrast	6.5
tt0021292	Redenzione	1930	Drama	Fred Niblo, Lionel Barrymore	5.6
tt0021310	Romanzo	1930	Drama, Romance	Clarence Brown	5.9
tt0021435	Sunny	1930	Musical	William A. Seiter	5.3
tt0021542	Westfront	1930	Drama, Romance, War	Georg Wilhelm Pabst	7.4
tt0021697	Broadminded	1931	Comedy	Mervyn LeRoy	5.9
tt0021764	Corsair	1931	Adventure, Crime, Romance	Roland West	5.8
tt0021798	Devotion	1931	Comedy, Drama, Romance	Robert Milton	6.2
tt0021799	Dirigibile	1931	Adventure	Frank Capra	6.3
tt0021814	Dracula	1931	Drama, Fantasy, Horror	Tod Browning, Karl Freund	7.5
tt0021815	Drácula	1931	Drama, Fantasy, Horror	George Melford, Enrique Tovar Ávalos	7.2
tt0021826	Ripudiata	1931	Drama, Romance	Frank Lloyd	6.0
tt0021884	Frankenstein	1931	Drama, Horror, Romance	James Whale	7.8
tt0021992	Illicit	1931	Drama, Romance	Archie Mayo	6.1
tt0022000	Indiscreet	1931	Comedy, Drama, Musical	Leo McCarey	6.2
tt0022026	Kiki	1931	Musical	Sam Taylor	5.0
tt0022080	Limite	1931	Drama, Romance	Mario Peixoto	7.3
tt0022125	Marius	1931	Comedy, Drama, Romance	Alexander Korda	7.9
tt0022134	Arizona	1931	Drama, Romance	George B. Seitz	5.7
tt0022149	Millie	1931	Drama, Romance	John Francis Dillon	6.3
tt0022204	Niemandsland	1931	Drama, War	Victor Trivas, George Shdanoff	6.7
tt0022215	Sola	1931	Drama	Grigoriy Kozintsev, Leonid Trauberg	7.1
tt0022251	Muraglie	1931	Comedy, Crime, Drama	James Parrott	7.0
tt0022274	Politiquerías	1931	Comedy	James W. Horne	6.7
tt0022296	Rebound	1931	Drama	Edward H. Griffith	5.7
tt0022339	Santa	1932	Drama	Antonio Moreno	7.0
tt0022397	Skippy	1931	Comedy, Drama, Family	Norman Taurog	6.3
tt0022435	Volubilità	1931	Drama, Romance	George Fitzmaurice	6.0
tt0022453	Cortigiana	1931	Drama, Romance	Robert Z. Leonard	6.4
tt0022454	Svengali	1931	Drama, Horror, Romance	Archie Mayo	6.8
tt0022458	Tabù	1931	Drama, Romance, Adventure	F.W. Murnau	7.5
tt0022500	Transatlantico	1931	Comedy, Drama	William K. Howard	6.6
tt0022501	Transgression	1931	Drama	Herbert Brenon	5.8
tt0022735	Tentazioni	1932	Drama	Michael Curtiz	6.8
tt0022789	Crooner	1932	Comedy	Lloyd Bacon	5.9
tt0022796	Infedele	1932	Drama, Romance	King Vidor	6.5
tt0022834	Downstairs	1932	Drama, Romance	Monta Bell	6.8
tt0022854	Ingratitudine	1932	Drama	Clarence Brown	7.0
tt0022867	Estasi	1933	Drama, Romance	Gustav Machatý	6.7
tt0022873	Faithless	1932	Drama	Harry Beaumont	6.8
tt0022877	Fanny	1932	Comedy, Drama	Marc Allégret	7.7
tt0022897	Carne	1932	Drama, Romance	John Ford	6.5
tt0022905	Proibito	1932	Drama, Romance	Frank Capra	6.9
tt0022913	Freaks	1932	Drama, Horror	Tod Browning	7.9
tt0023002	Atlantide	1932	Fantasy, Sci-Fi	Georg Wilhelm Pabst	6.1
tt0023034	Huddle	1932	Drama, Romance, Sport	Sam Wood	5.8
tt0023071	Ivan	1932	Drama	Aleksandr Dovzhenko	6.5
tt0023101	Kongo	1932	Drama, Horror	William J. Cowen	6.6
tt0023132	Ritorno	1932	Drama	Clarence Brown	6.1
tt0023261	Nasanunaka	1932	Drama	Mikio Naruse	6.8
tt0023358	Prosperity	1932	Comedy, Drama	Sam Wood	6.4
tt0023369	Pioggia	1932	Drama	Lewis Milestone	6.9
tt0023464	Perfidia	1932	Drama, Romance	Nick Grinde	6.4
tt0023479	Peccatori	1932	Drama, Romance	Alexander Hall	6.1
tt0023488	Catene	1932	Drama, Romance	Sidney Franklin	6.9
tt0023556	Taxi	1931	Crime, Drama, Romance	Roy Del Ruth	6.7
tt0023635	Unashamed	1932	Drama	Harry Beaumont	6.1
tt0023649	Vampyr	1932	Fantasy, Horror	Carl Theodor Dreyer	7.5
tt0023659	Virtue	1932	Crime, Drama, Romance	Edward Buzzell	6.9
tt0023681	Risveglio	1931	Drama, Romance, War	Harry Beaumont	6.1
tt0023729	1860	1933	Drama, History	Alessandro Blasetti	6.7
tt0023793	Oceano	1933	Action, Adventure, Romance	Albert S. Rogell	5.9
tt0023838	Spavalderia	1933	Comedy, Drama	Raoul Walsh	6.9
tt0023872	Catturato	1933	Drama, Romance, War	Roy Del Ruth	6.6
tt0023876	Cavalcata	1933	Drama, Romance, War	Frank Lloyd	5.8
tt0023909	Corruption	1933	Action, Adventure, Crime	Charles E. Roberts	5.7
tt0023939	Dezertir	1933	Drama	Vsevolod Pudovkin	6.4
tt0023990	Eschimo	1933	Drama	W.S. Van Dyke	7.0
