movieId title
0051541 Dobrovoltsy
0051565 Dunkerque
0051584 Conflagrazione
0051600 Fanfare
0051608 Femmina
0051640 Fräulein
0051749 Stalingrado
0051762 Idiot
0051773 Indiscreto
0051791 Iwashigumo
0051794 Jazzgossen
0051885 Macabro
0051983 Nazarín
0052063 Petla
0052083 Pozegnania
0052147 Rooney
0052214 Soldaterkammerater
0052411 Yahudi
0052560 Anari
0052575 Arrangiatevi
0052707 Counterplot
0052768 Dúvad
0052783 Joselito
0052837 Gazebo
0052939 Jakten
0052961 Kapò
0052966 Kazabana
0053019 Lotna
0053158 Paw
0053240 Sampo
0053259 Sekishunchô
0053270 Ombre
0053295 Sonnensucher
0053319 Sujata
0053339 Telegrame
0053351 Cordura
0053436 Vatussi
0053577 Obaltan
0053624 Badaranii
0053661 Bobbikins
0053671 Boulevard
0053675 Olympia
0053708 Chhalia
0053715 Cimarron
0053738 Cresus
0053739 Crimen
0053804 Exodus
0053842 Fuefukigawa
0053876 Rokudenashi
0053891 Annibale
0053985 Kanoon
0053999 Kohinoor
0054003 Krotkaya
0054172 Pepe
0054215 Psyco
0054229 Rat
0054244 Suspect
0054293 Seryozha
0054331 Spartacus
0054449 Voskreseniye
0054619 Alyonka
0054708 Bussen
0054724 Zombie
0054816 Dondi
0054938 Gorgo
0054956 Gøngehøvdingen
0054988 Homicidal
0055018 Suspense
0055035 Junglee
0055057 Komtessen
0055103 Lustgården
0055106 Lycanthropus
0055119 Madalena
0055186 Misty
0055198 Mosura
0055310 Plácido
0055375 Antigoni
0055401 Samson
0055411 Saptapadi
0055432 Senilità
0055441 Shiiku
0055527 Tlayucan
0055577 Ursus
0055597 Victim
0055601 Viridiana
0055724 Abhijaan
0055730 Agostino
0055774 Barabba
0055776 Barravento
0055832 Cartouche
0055841 Sessualità
0055850 Chûshingura
0055946 Eegah
0055950 Elettra
0055974 Fallguy
0056017 Gigò
0056071 Ipnosi
0056117 Jessica
0056134 Kanchenjungha
0056144 Kiru
0056165 Landru
0056193 Lolita
0056210 Mafioso
0056262 Capobanda
0056312 Ofelia
0056346 Fedra
0056356 Pojat
0056366 Prekobrojna
0056379 Professor
0056430 Rotkäppchen
0056443 Sanjuro
0056446 Sasa
0056469 Serena
0056537 Subarnarekha
0056565 Panic
0056576 Hallucination
0056584 Tiburoneros
0056649 Vaxdockan
0056733 Älskarinnan
0056801 8½
0056850 Bandini
0056854 Barnvagnen
0056923 Sciarada
0057011 Dr
0057082 Fuego
0057120 Gumrah
0057127 Hattyúdal
0057155 Horror
0057215 Atragon
0057277 Mahanagar
0057298 McLintock
0057302 Metempsyco
0057394 Pacsirta
0057514 Sodrásban
0057846 Angelica
0057859 Monstrosity
0057964 Controsesso
0058138 Gertrud
0058173 Daydream
0058175 Hamlet
0058216 Hysteria
0058270 Kohraa
0058287 Leader
0058301 Lorna
0058329 Marnie
0058349 Midareru
0058374 Frosty
0058430 Onibaba
0058487 Povratak
0058489 Predsedatel
0058547 Sangam
0058585 Elettroshock
0058596 Smokescreen
0058672 Topkapi
0058753 Witchcraft
0058767 Zaychik
0058777 Zulu
0058888 Barbarossa
0058921 Arzoo
0058972 Billie
0059012 Falstaff
0059025 Chappaqua
0059028 Chemmeen
0059084 Darling
0059096 Della
0059181 Firelight
0059211 Gamperaliya
0059253 Harlow
0059311 Incubus
0059319 Ipcress
0059348 Kapurush
0059349 Karla
0059354 Khandan
0059380 Lausbubengeschichten
0059417 Mahapurush
0059448 Mirage
0059477 Mudhoney
0059555 Otello
0059633 Rapimento
0059634 Rascoala
0059646 Repulsion
0059668 Rysopis
0059670 Salto
0059673 Samurai
0059762 Stryapukha
0059774 Synanon
0059829 Tri
0059880 Vinyl
0059884 Natascia
0059893 Waqt
0059924 Yankee
0059934 Yoyo
0060086 Alfie
0060104 Amrapali
0060116 Apa
0060121 Arabesque
0060127 Aroused
0060150 Barriera
0060315 Django
0060491 Hawaii
0060508 Hikinige
0060544 Invasion
0060568 Judith
0060588 Khartoum
0060608 Kriminal
0060659 Mamta
0060676 Matchless
0060681 Maya
0060733 Naboerne
0060742 Nayak
0060827 Persona
0060845 Playgirl
0060912 Rondo
0060983 Dominique
0060994 Smoky
0061042 Fame
0061046 Suraj
0061056 Szyfry
0061059 Embrione
0061136 Ukamau
0061146 Utószezon
0061180 Bisbigli
0061196 Krylya
0061207 Yngsjömordet
0061365 Arabella
0061439 Camelot
0061474 Chiriyakhana
0061744 Hamraaz
0061761 Herostratus
0061770 Hombre
0061780 Masquerade
0061851 Jowita
0061906 Libido
0061957 Martha
0061974 Milan
0062032 Delirium
0062047 Wanted
0062054 Noz
0062155 Privilege
0062306 Stimulantia
0062377 Tobruk
0062414 Ulysses
0062453 Viy
0062524 Zhurnalist
0062640 Aadmi
0062656 Amanti
0062681 Asfalttilampaat
0062706 Bandidos
0062711 Barbarella
0062764 Buckskin
0062765 Bullitt
0062771 Bübchen
0062851 Daimajin
0062861 Diabolik
0062873 Josephine
0062884 Detektive
0062897 Diwana
0062948 Execution
0062952 Volti
0062979 Flesh
0062998 Galileo
0063140 Isabel
0063141 Isadora
0063157 Joanna
0063281 Maryjane
0063338 Negatives
0063340 Nerosubianco
0063384 Anghingò
0063404 Padosan
0063426 Petulia
0063473 Punahilkka
0063500 Requiescant
0063513 Robby
0063549 Satanik
0063570 Sebastian
0063581 Separation
0063583 Serafino
0063592 Shalako
0063612 Skidoo
0063671 Bersagli
0063678 Teorema
0063679 Tepepa
0063748 Tradimento
0063995 Akage
0064011 Zaseda
0064074 Mutazioni
0064156 Chastity
0064172 Clérambard
0064269 Dzhamilya
0064297 Erotissimo
0064356 Gaav
0064368 Gheisar
0064371 Gladiatorerna
0064465 Ice
0064488 Interrabang
0064490 Invasión
0064506 Ittefaq
0064512 Jigokuhen
0064541 Kes
0064542 Kevade
0064570 Lalka
0064598 Twinky
0064609 Lucia
0064616 Macunaíma
0064625 Maidstone
0064787 Paranoia
0064789 Paroxismus
0064797 Pendulum
0064815 Pirosmani
0064828 Porcile
0064866 Queimada
0064924 Swop
0064997 Slaves
0065000 Slogan
0065037 Pookie
0065045 Subterfuge
0065052 Svetáci
0065064 Talash
0065112 Topaz
0065166 Valérie
0065224 Onyricon
0065377 Airport
0065416 Aradhana
0065451 Barquero
0065452 Bartleby
0065470 Bigfoot
0065480 Macellai
0065486 Borsalino
0065503 Buraikan
0065533 Chayka
0065547 Chisum
0065588 Kureopatora
0065593 Cromwell
0065620 Deadlock
0065650 Dogadjaj
0065672 Dzieciol
0065759 Garringo
0065867 Mariti
0065917 Jonathan
0065987 Lisice
0066002 Loot
0066031 Machibuse
0066050 Sledge
0066065 Medea
0066075 Metello
0066124 Nachalo
0066162 Norwood
0066214 Sadismo
0066216 Permissive
0066233 Postchi
0066234 Pound
0066237 Pratidwandi
0066256 Pufnstuf
0066289 Rejs
0066320 Rötmånad
0066372 Shinsengumi
0066469 Together
0066499 Umbracle
0066500 Umut
0066536 Voyou
0066549 Waterloo
0066742 Aci
0066750 Agitátorok
0066763 Anand
0066769 Andromeda
0066862 Breza
0066866 Bubasinter
0066867 Bubù
0066888 Caravan
0066900 Catlow
0066907 Chato
0066915 Mitch
0066969 Dauriya
0066990 Deviation
0067012 Dornröschen
0067048 Emitaï
0067055 Equinox
0067068 Evdokia
0067076 Exponerad
0067100 Firecracker
0067128 Carter
0067133 Ginger
0067164 Guddi
0067211 Homesdale
0067214 Honky
0067252 Interview
0067296 Kazoku
0067386 Malpertuis
0067405 Maskarada
0067436 Mira
0067480 Necrophagus
0067515 Octaman
0067517 Ofitsery
0067546 Pakeezah
0067555 Parwana
0067606 Preacherman
0067630 Psychomania
0067649 Ragbar
0067716 Slok
0067729 Seemabaddha
0067742 Sharmeelee
0067755 Chinmoku
0067795 Stork
0067804 Summertree
0067814 Szerelem
0067815 Szindbád
0067869 Toughi
0067876 Trastevere
0067884 Trotta
0067897 Umutsuzlar
0067961 Wanda
0067979 Whity
0068011 Zachariah
0068014 Zeppelin
0068024 Mátalo
0068025 Äppelkriget
0068156 1776
0068181 Agit
0068252 Baluch
0068257 Bawarchi
0068277 Bita
0068284 Blacula
0068294 Barbablù
0068306 Bone
0068324 Bummer
0068327 Cabaret
0068331 Camorra
0068333 Cancer
0068356 Chandler
0068413 Corky
0068429 Apache
0068459 Deathmaster
